Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
11/21/2017,DKI1,30,20,19,141,5,141,O3,TIDAK SEHAT
11/22/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
11/23/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
11/24/2017,DKI1,40,19,17,18,2,40,PM10,BAIK
11/25/2017,DKI1,27,19,18,20,2,27,PM10,BAIK
11/26/2017,DKI1,28,20,15,18,2,28,PM10,BAIK
11/27/2017,DKI1,20,18,16,19,2,20,PM10,BAIK
11/28/2017,DKI1,19,18,16,21,2,21,O3,BAIK
11/29/2017,DKI1,23,19,16,28,3,28,O3,BAIK
11/30/2017,DKI1,29,21,23,18,4,29,PM10,BAIK
12/1/2017,DKI1,27,21,21,19,3,27,PM10,BAIK
12/2/2017,DKI1,39,20,18,20,3,39,PM10,BAIK
12/3/2017,DKI1,33,19,17,27,3,33,PM10,BAIK
12/4/2017,DKI1,27,20,15,25,2,27,PM10,BAIK
12/5/2017,DKI1,30,19,18,29,4,30,PM10,BAIK
12/6/2017,DKI1,28,20,19,78,6,78,O3,SEDANG
12/7/2017,DKI1,35,22,19,40,4,40,O3,BAIK
12/8/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/9/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/10/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/11/2017,DKI1,25,20,17,16,2,25,PM10,BAIK
12/12/2017,DKI1,24,20,25,21,2,25,CO,BAIK
12/13/2017,DKI1,27,19,24,16,1,27,PM10,BAIK
12/14/2017,DKI1,10,20,20,31,4,31,O3,BAIK
12/15/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/16/2017,DKI1,51,23,22,18,2,51,PM10,SEDANG
12/17/2017,DKI1,33,20,18,29,2,33,PM10,BAIK
12/18/2017,DKI1,17,23,17,25,2,25,O3,BAIK
12/19/2017,DKI1,27,21,19,31,4,31,O3,BAIK
12/20/2017,DKI1,33,21,18,30,3,33,PM10,BAIK
12/21/2017,DKI1,30,21,22,28,3,30,PM10,BAIK
12/22/2017,DKI1,28,20,26,25,3,28,PM10,BAIK
12/23/2017,DKI1,34,21,21,35,3,35,O3,BAIK
12/24/2017,DKI1,24,21,18,34,2,34,O3,BAIK
12/25/2017,DKI1,20,19,14,22,2,22,O3,BAIK
12/26/2017,DKI1,16,20,14,33,2,33,O3,BAIK
12/27/2017,DKI1,22,21,15,27,3,27,O3,BAIK
12/28/2017,DKI1,31,23,17,35,3,35,O3,BAIK
12/29/2017,DKI1,35,24,21,45,4,45,O3,BAIK
12/30/2017,DKI1,49,23,18,54,3,54,O3,SEDANG
12/31/2017,DKI1,38,23,21,30,4,38,PM10,BAIK
1/1/2018,DKI1,35,20,22,27,2,35,PM10,BAIK
1/2/2018,DKI1,14,18,12,17,1,18,SO2,BAIK
1/3/2018,DKI1,,,,,,,,TIDAK ADA DATA
1/4/2018,DKI1,24,21,20,19,2,24,PM10,BAIK
1/5/2018,DKI1,23,19,17,21,2,23,PM10,BAIK
1/6/2018,DKI1,18,19,14,24,2,24,O3,BAIK
1/7/2018,DKI1,21,20,14,27,2,27,O3,BAIK
1/8/2018,DKI1,48,27,19,44,3,48,PM10,BAIK
1/9/2018,DKI1,24,23,16,29,2,29,O3,BAIK
1/10/2018,DKI1,28,23,16,44,3,44,O3,BAIK
1/11/2018,DKI1,40,30,18,36,4,40,PM10,BAIK
1/12/2018,DKI1,35,22,18,38,4,38,O3,BAIK
1/13/2018,DKI1,39,23,17,50,4,50,O3,BAIK
1/14/2018,DKI1,31,23,17,38,4,38,O3,BAIK
1/15/2018,DKI1,30,21,19,33,3,33,O3,BAIK
1/16/2018,DKI1,24,23,19,29,3,29,O3,BAIK
1/17/2018,DKI1,35,23,19,34,4,35,PM10,BAIK
1/18/2018,DKI1,41,22,22,23,5,41,PM10,BAIK
1/19/2018,DKI1,46,22,27,20,5,46,PM10,BAIK
1/20/2018,DKI1,27,20,18,23,2,27,PM10,BAIK
1/21/2018,DKI1,25,20,17,25,2,25,PM10,BAIK
1/22/2018,DKI1,17,20,17,18,2,20,SO2,BAIK
1/23/2018,DKI1,28,21,17,34,3,34,O3,BAIK
1/24/2018,DKI1,33,23,20,39,3,39,O3,BAIK
1/25/2018,DKI1,26,20,19,19,3,26,PM10,BAIK
1/26/2018,DKI1,21,20,19,25,3,25,O3,BAIK
1/27/2018,DKI1,27,21,19,37,3,37,O3,BAIK
1/28/2018,DKI1,32,22,17,23,4,32,PM10,BAIK
1/29/2018,DKI1,22,20,17,19,2,22,PM10,BAIK
1/30/2018,DKI1,27,21,20,23,3,27,PM10,BAIK
1/31/2018,DKI1,28,21,20,27,3,28,PM10,BAIK
2/1/2018,DKI1,44,21,19,31,3,44,PM10,BAIK
2/2/2018,DKI1,46,23,26,30,4,46,PM10,BAIK
2/3/2018,DKI1,18,21,19,27,3,27,O3,BAIK
2/4/2018,DKI1,22,20,16,27,2,27,O3,BAIK
2/5/2018,DKI1,31,19,19,27,3,31,PM10,BAIK
2/6/2018,DKI1,24,21,35,31,5,35,CO,BAIK
2/7/2018,DKI1,,,,,,,,TIDAK ADA DATA
2/8/2018,DKI1,,,,,,,,TIDAK ADA DATA
2/9/2018,DKI1,28,23,38,29,3,38,CO,BAIK
2/10/2018,DKI1,13,24,26,,4,26,CO,BAIK
2/11/2018,DKI1,24,25,19,30,3,30,O3,BAIK
2/12/2018,DKI1,15,20,21,43,3,43,O3,BAIK
2/13/2018,DKI1,41,21,22,40,5,41,PM10,BAIK
2/14/2018,DKI1,37,21,25,36,6,37,PM10,BAIK
2/15/2018,DKI1,21,22,32,25,5,32,CO,BAIK
2/16/2018,DKI1,20,22,23,42,3,42,O3,BAIK
2/17/2018,DKI1,13,22,17,24,3,24,O3,BAIK
2/18/2018,DKI1,29,22,19,40,3,40,O3,BAIK
2/19/2018,DKI1,19,21,20,34,3,34,O3,BAIK
2/20/2018,DKI1,24,28,22,29,4,29,O3,BAIK
