,0,1,2,3,4,5
439,75.0,26.0,15.0,66.0,11.0,75.0
440,66.0,22.0,16.0,46.0,18.0,66.0
441,64.0,23.0,39.0,85.0,8.0,85.0
442,41.0,23.0,14.0,79.0,9.0,79.0
443,46.0,22.0,12.0,88.0,22.0,88.0
444,62.0,21.0,31.0,87.0,13.0,87.0
445,27.0,21.0,8.0,39.0,6.0,39.0
446,75.0,22.0,30.0,90.0,10.0,90.0
447,60.0,23.0,15.0,37.0,11.0,60.0
448,36.0,21.0,11.0,38.0,9.0,38.0
449,51.0,21.0,21.0,36.0,12.0,51.0
450,41.0,22.0,11.0,43.0,6.0,43.0
451,75.0,23.0,30.0,66.0,26.0,75.0
452,71.0,25.0,22.0,105.0,19.0,105.0
453,56.0,25.0,20.0,68.0,30.0,68.0
454,37.0,22.0,9.0,39.0,8.0,39.0
455,37.0,21.0,7.0,42.0,4.0,42.0
456,36.0,22.0,12.0,37.0,5.0,37.0
457,47.0,22.0,19.0,39.0,11.0,47.0
458,39.0,24.0,9.0,48.0,14.0,48.0
459,81.0,28.0,23.0,91.0,14.0,91.0
460,52.0,24.0,14.0,46.0,11.0,52.0
461,68.0,24.0,24.0,41.0,9.0,68.0
462,43.0,23.0,9.0,27.0,8.0,43.0
463,51.0,22.0,15.0,49.0,7.0,51.0
464,45.0,23.0,15.0,43.0,9.0,45.0
465,71.0,24.0,23.0,48.0,11.0,71.0
466,67.0,24.0,11.0,26.0,8.0,67.0
467,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
468,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
469,59.0,24.0,17.0,63.0,11.0,63.0
470,65.0,23.0,27.0,71.0,13.0,71.0
471,63.0,23.0,24.0,69.0,16.0,69.0
472,81.0,25.0,21.0,75.0,14.0,81.0
473,86.0,25.0,33.0,59.0,18.0,86.0
474,76.0,24.0,24.0,33.0,11.0,76.0
475,73.0,23.0,41.0,58.0,13.0,73.0
476,70.0,26.0,29.0,45.0,14.0,70.0
477,51.0,22.0,30.0,43.0,11.0,51.0
478,54.0,23.0,32.0,45.0,15.0,54.0
479,56.0,23.0,37.0,18.0,10.0,56.0
480,63.0,24.0,33.0,13.0,12.0,63.0
481,54.0,23.0,20.2,21.0,6.0,54.0
482,41.0,25.0,13.0,55.0,11.0,55.0
483,54.0,23.0,21.0,66.0,9.0,66.0
484,78.0,24.0,29.0,89.0,22.0,89.0
485,73.0,25.0,14.0,57.0,8.0,73.0
486,88.0,25.0,20.0,75.0,15.0,88.0
487,103.0,27.0,23.0,70.0,16.0,103.0
488,87.0,24.0,46.0,60.0,15.0,87.0
489,72.0,26.0,27.0,65.0,13.0,72.0
490,70.0,26.0,11.0,46.0,10.0,70.0
491,68.0,27.0,13.0,40.0,9.0,68.0
492,79.0,26.0,18.0,96.0,14.0,96.0
493,93.0,27.0,21.0,60.0,12.0,93.0
494,73.0,25.0,12.0,57.0,10.0,73.0
495,74.0,27.0,12.0,41.0,12.0,74.0
496,103.0,27.0,27.0,75.0,11.0,103.0
497,96.0,26.0,23.0,61.0,11.0,96.0
498,87.0,26.0,15.0,92.0,10.0,92.0
499,94.0,27.0,24.0,74.0,15.0,94.0
500,87.0,28.0,15.0,53.0,9.0,87.0
501,65.0,25.0,16.0,39.0,11.0,65.0
502,74.0,26.0,20.0,42.0,9.0,74.0
503,59.0,24.0,13.0,62.0,9.0,62.0
504,57.0,25.0,29.0,49.0,10.0,57.0
505,56.0,25.0,20.0,60.0,9.0,60.0
506,55.0,25.0,12.0,34.0,7.0,55.0
507,58.0,26.0,10.0,30.0,9.0,58.0
508,42.0,25.0,12.0,53.0,8.0,53.0
509,61.0,26.0,22.0,57.0,10.0,61.0
510,71.0,29.0,15.0,51.0,11.0,71.0
511,62.0,26.0,22.0,56.0,8.0,62.0
512,61.0,24.0,55.0,64.0,9.0,64.0
513,84.0,28.0,20.0,57.0,12.0,84.0
514,86.0,25.0,24.0,67.0,13.0,86.0
515,83.0,28.0,21.0,114.0,20.0,114.0
516,69.0,25.0,23.0,94.0,11.0,94.0
517,78.0,26.0,13.0,46.0,10.0,78.0
518,82.0,26.0,16.0,61.0,8.0,82.0
519,73.0,27.0,11.0,61.0,9.0,73.0
520,67.0,26.0,11.0,70.0,8.0,70.0
521,78.0,26.0,13.0,71.0,8.0,78.0
522,79.0,25.0,15.0,86.0,7.0,86.0
523,68.0,27.0,13.0,62.0,10.0,68.0
524,100.0,27.0,39.0,73.0,19.0,100.0
525,75.0,26.0,23.0,107.0,11.0,107.0
526,70.0,27.0,11.0,96.0,8.0,96.0
527,66.0,26.0,13.0,67.0,7.0,67.0
528,64.0,25.0,30.0,66.0,8.0,66.0
529,55.0,25.0,13.0,51.0,4.0,55.0
